Autor,Ano de Produção,Titulo,Universidade,Abreviação Do Nome da Universidade,Cidade,Região,Estado,Áreas do conhecimento,Escola,local,Níveis de escolaridade,Duração (meses),,Horas por aula semanal,Quan de aluno,Qual Kit usou
ANA PAULA GIACOMASSI LUCIANO,2014,A UTILIZAÇÃO DA ROBÓTICA EDUCACIONAL COM A PLATAFORMA ARDUINO: UMA CONTRIBUIÇÃO PARA O ENSINO DE FÍSICA,UNIVERSIDADE ESTADUAL DE MARINGÁ PROGRAMA DE PÓS-GRADUAÇÃO EM EDUCAÇÃO PARA A CIÊNCIA E A MATEMÁTICA,UEM,MARINGÁ,Sul,Paraná,Física,Pública,"Um colégio da rede pública de ensino, pertencente ao Núcleo Regional de Maring",Ensino Médio,"2,5",20h,2h,30,Kit Arduino
MARA CRISTINA DE MORAIS GARCIA,2015,ROBÓTICA EDUCACIONAL E APRENDIZAGEM COLABORATIVA NO ENSINO DE BIOLOGIA: DISCUTINDO CONCEITOS RELACIONADOS AO SISTEMA NERVOSO HUMANO,UNIVERSIDADE FEDERAL DE GOIÁS PRÓ-REITORIA DE PÓS-GRADUAÇÃO PROGRAMA DE EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA,UFG,GOIÂNIA,Centro-Oeste,Goiás,Biologia,Pública,"Colégio estadual, situado na região central de Goiânia, conveniado com a Policia Militar de Goiás: o Colégio da Polícia Militar Polivalente Modelo Vasco dos Reis.",Ensino Médio,5,69h,3h,15,Kit Arduino
Fernando da Costa Barbosa,2016,"REDE DE APRENDIZAGEM EM ROBÓTICA: UMA PERSPECTIVA
EDUCATIVA DE TRABALHO COM JOVENS",Universidade Federal de Uberlândia,UFU,Uberlândia,Sudeste,Minas Gerais,STEM,ONG,(RE)Ação na ONG Ação Moradia.,"Ensino Fundamental, Médio e Técnico ",12,12,N/D,N/D,LEGO Mindstorms 
LIDIANE DE SOUZA ASSANTE,2016,A INCLUSÃO DO ROBÔ HUMANOIDE NAO COMO RECURSO TECNOLÓGICO NO PROCESSO DO ENSINO- APRENDIZADO DA LÍNGUA PORTUGUESA NA EDUCAÇÃO ESPECIAL.,2 UNIVERSIDADE FEDERAL DO AMAZONAS – UFAM FACULDADE DE TECNOLOGIA - FT PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA DE PRODUÇÃO – PPGEP,UFA,Manaus,Norte,Amazonas,Língua Portuguesa,Pública,Núcleo de Tecnologia Assistiva da Universidade do Estado do Amazonas,Educação Especial (crianças com TGD e TEA),N/D,N/D,N/D,N/D,Robô Humanóide NÃO
Geislana Padeti Ferreira Duminelli,2016,ROBÓTICA APLICADA AO ENSINO DE RESISTORES,Universidade Tecnológica Federal do Paraná,UTFPR,Campo Mourão,Sul,Paraná,Física,Publica,Colégio Estadual Professora Ivone Soares Castanharo.,Ensino Médio,ano letivo,50,2,30,Não Especificado
Velcir Barcaroli,2017,"PLATAFORMA INTERATIVA DE
APRENDIZAGEM DE
PROGRAMAÇÃO VOLTADA A
DISSEMINAÇÃO DO PENSAMENTO
COMPUTACIONAL UTILIZANDO
ROBÓTICA REMOTA",Universidade de Passo Fundo,UPF,Passo Fundo,Sul,Rio Grande do Sul,Robótica,Pública,N/D,Não Especificado,N/D,N/D,N/D,N/D,Ambiente de Simulação
AllTON DINIZ DE OLIVEIRA,2017,ROBOTICA NAS AULAS DE MATEMATICA: UMA PESPECTIVA TECNOLOGICA ASSOCIADA AO ENSINO DE FUNCOES,UNIVERSIDADE ESTADUAL DA PARAIBA-UEPB - CAMPUS I PRO-REITORIA DE GRADUACAO E PESQUISA CENTRO DE CIENCIAS E TECNOLOGIA MESTRADO PROFISSIONAL EM ENSINO DE CIENCIAS E EDUCACAO MATEMATICA,UEPA,CAMPINA GRANDE ,Nordeste,Paraíba,Matemática,Pública,Escola Estadual Rubens Dutra Segundo,Ensino Médio,12,N/D,N/D,2 Turmas de Ensino Médio,BRINK MOBIL
Maurício Veiga da Silva,2017,ROBÓTICA EDUCACIONAL: UM RECURSO PARA A EXPLORAÇÃO DE CONCEITOS RELACIONADOS À TRANSFERÊNCIA DE CALOR NO ENSINO MÉDIO,UNIVERSIDADE DO VALE DO TAQUARI PROGRAMA DE PÓS-GRADUAÇÃO STRICTO SENSU MESTRADO PROFISSIONAL EM ENSINO DE CIÊNCIAS EXATAS,UNIVATES,Lajeado,Sul,Rio Grande do Sul,Física,Privada,escola privada do município de Vilhena,Ensino Médio,5 Senanas,N/D,1h10,23,LEGO Mindstorms 
Almir de Oliveira Costa Junior,2017,"UMA ESTRATÉGIA UTILIZANDO ROBÓTICA PARA O ENSINO DOS
CONCEITOS DE VELOCIDADE E ACELERAÇÃO ESCALARES",Instituto Federal do Amazonas,IFAM,Manaus,Norte,Amazonas,Física,N/D,N/D,Ensino Médio,semestre letivo,N/D,N/D,28,Kit Arduino
LUIZ ROBERTO CUCH,2018,"ESTUDO SOBRE A ATENÇÃO CONCENTRADA EM UM PROJETO DE
ROBÓTICA EDUCACIONAL NO ENSINO MÉDIO DE ESCOLAS PÚBLICAS DO
MUNICÍPIO DE PORTO UNIÃO – SC
CURITIBA",CENTRO UNIVERSITÁRIO INTERNACIONAL,UNINTER,Curitiba,Sul,Paraná,STEM e Programação,Publica,Escolas de Educação Básica Balduíno Cardoso e Nilo Peçanha,Ensino Médio,semestre letivo,45,90 min,9,Não Especificado
